"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_cfgweapons_mp5k0","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K",
"str_iz_cfgweapons_mp5k1","Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","Samopal s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem, velmi vysoká kadence. Používá munici 9x19 mm.","Maschinenpistole mit selektivem Feuer und abnehmbarem Magazin. Sehr hohe Feuerrate. Nutzt 9x19mm-Munition.","Пистолет-пулемет с переводчиком режимов огня и съемным магазином. Очень высокая скорость стрельбы. Использует патроны калибра 9x19 мм.","Pistolet maszynowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Bardzo szybkostrzelny. Strzela amunicją 9x19 mm.","Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","Mitra con selettore di fuoco e alimentazione a caricatore estraibile. Tasso di fuoco molto elevato. Utilizza munizioni calibro 9x19 mm.","Metralleta de fuego selectivo, alimentada por un cargador desmontable. Cadencia de tiro muy elevada. Usa proyectiles de 9x19 mm.","Un pistolet mitrailleur à cadence élevée, avec différents modes de tir accueillant un chargeur amovible de calibre 9x19 mm.","可選射擊模式的機關槍，以可拆卸的彈匣供彈。射速極快。使用 9x19mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能の短機関銃。連射速度がとても高い、大口径。9x19mm 弾薬を使う。","Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","从可拆卸弹匣送弹的选射冲锋枪。射速非常快。使用 9x19mm 子弹。",

	"str_iz_cfgweapons_groza0","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa","OZ-14 Grosa",
	"str_iz_cfgweapons_groza1","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.",

	"str_iz_cfgweapons_pm73rak0","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK",
	"str_iz_cfgweapons_pm73rak1","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.",

"str_iz_cfgweapons_repeater0","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892","Winchester Model 1892",
"str_iz_cfgweapons_repeater1","Seven-shot lever-action carbine, fed from an internal magazine. Proven and reliable, with a dash of the Old West style. Uses .357 rounds.","Seven-shot lever-action carbine, fed from an internal magazine. Proven and reliable, with a dash of the Old West style. Uses .357 rounds.","Sedmiranná karabina se spodní nabíjecí pákou. Munice dodávána vnitřním zásobníkem. Puška je to spolehlivá a osvědčená a budeš si s ní připadat jako Old Shatterhand. Používá munici .357.","Unterhebel-Karabiner mit sieben Schuss und internem Magazin. Erprobt und zuverlässig mit einem Hauch Wildwest. Verschießt .357-Munition.","Карабин рычажного действия c трубчатым магазином на 7 патронов. Проверенный и надежный в стиле Дикого Запада. Использует стандартный патрон .357.","Siedmiostrzałowy karabin dźwigniowy z magazynkiem wewnętrznym. Sprawdzona i niezawodna konstrukcja w stylu Dzikiego Zachodu. Strzela amunicją .357.","Seven-shot lever-action carbine, fed from an internal magazine. Proven and reliable, with a dash of the Old West style. Uses .357 rounds.","Carabina a leva da sette colpi con alimentazione mediante caricatore interno. Consolidata e affidabile, ha uno stile che ricorda un po’ il far west. Utilizza munizioni calibro .357.","Una carabina con acción de palanca que emplea un cargador interno de siete proyectiles. Un arma fiable y segura con el sabor del Salvaje Oeste. Emplea proyectiles de calibre .357.","Une carabine à levier de calibre .357 avec chargeur fixe à sept coups. De conception éprouvée et fiable, elle évoque le Far West.","七發杆動式卡賓槍，使用內部彈匣供彈。既實用又可靠，還帶有一點古典西部風。使用 .357 彈藥。","内部マガジンから装填する 7 発レバー・アクション式カービン銃。西部劇っぽさが垣間見える、実績があって信頼を置ける武器。.357 の弾薬を使う。","Seven-shot lever-action carbine, fed from an internal magazine. Proven and reliable, with a dash of the Old West style. Uses .357 rounds.","七发杠杆式卡宾枪，使用内置弹匣送弹。久经考验，性能可靠，略具老西部风格。使用 .357 子弹。",

	"str_iz_cfgweapons_scout0","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout","Steyr Scout",
	"str_iz_cfgweapons_scout1","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.","The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform.",

"str_iz_cfgweapons_sks0","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66","SKS M59/66",
"str_iz_cfgweapons_sks1","A ten-shot semi-automatic rifle, fed from an internal magazine. Older model, but still reliable. Uses 7.62x39mm rounds.","A ten-shot semi-automatic rifle, fed from an internal magazine. Older model, but still reliable. Uses 7.62x39mm rounds.","Poloautomatická puška na deset ran, munice dodávána vnitřním zásobníkem. Starší, ale stále spolehlivý model. Používá munici 7,62x39 mm.","Ein halbautomatisches Gewehr mit zehn Schuss, das von einem internen Magazin versorgt wird. Ein älteres Modell, aber trotzdem nützlich. Nutzt 7.62x39mm-Munition.","Десятизарядная полуавтоматическая винтовка с внутренним магазином. Старая, но все равно надежная модель. Использует патроны калибра 7,62x39 мм.","Dziesięciostrzałowy, półautomatyczny karabin z magazynkiem wewnętrznym. Stary, ale wciąż niezawodny. Strzela amunicją 7,62x39 mm.","A ten-shot semi-automatic rifle, fed from an internal magazine. Older model, but still reliable. Uses 7.62x39mm rounds.","Fucile semiautomatico da dieci colpi con alimentazione mediante caricatore interno. È un modello più vecchio, ma resta comunque affidabile. Utilizza munizioni calibro 7.62x39 mm.","Un fusil semiautomático de diez tiros, que se alimenta de un cargador interno. Es un modelo antiguo, pero sigue siendo de confianza. Usa proyectiles de 7,62x39 mm.","Un fusil semi-automatique à dix coups de 7,62x39 mm avec chargeur interne. Un modèle ancien, mais fiable.","半自動步槍，可容納十發子彈，以內建彈匣供彈。是較老舊的版本，但還是很可靠耐用。使用 7.62x39mm 子彈。","内部マガジンから装填する 10 発セミオート式ライフル。古めのモデルだが、依然信頼性が高い。7.62x39mm 弾薬を使う。","A ten-shot semi-automatic rifle, fed from an internal magazine. Older model, but still reliable. Uses 7.62x39mm rounds.","10 发子弹半自动步枪，从内置弹匣送弹。较老的枪型，但可靠性还不错。使用 7.62x39mm 子弹。",

"str_iz_cfgweapons_svd0","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD",
"str_iz_cfgweapons_svd1","Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","Poloautomatická ostrostřelecká puška. Munice dodávána odnímatelným zásobníkem. Kompatibilní s optikami na AK. Používá munici 7,62x54 mmR.","Halbautomatisches Scharfschützengewehr mit abnehmbarem Magazin. Kompatibel mit AK-Zielvisieren. Nutzt 7,62x54mmR-Munition.","Полуавтоматическая снайперская винтовка со съемным магазином. Совместима с прицелами системы КА. Использует патроны калибра 7,62x54 мм R.","Półautomatyczny karabin precyzyjny z magazynkiem zewnętrznym. Kompatybilny z lunetami celowniczymi AK. Strzela amunicją 7,62x54 mm.","Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","Fucile da tiratore scelto semi-automatico con alimentazione mediante un caricatore estraibile. Compatibile con i mirini AK. Utilizza munizioni calibro 7.62x54 mm R.","Fusil de tirador semiautomático, alimentado por un cargador desmontable. Compatible con miras AK. Usa proyectiles de 7,62x54 mmR.","Un fusil de précision semi-automatique accueillant un chargeur amovible de calibre 7,62x54 mm R. Compatible avec les lunettes pour AK.","半自動式特等射手步槍，以可拆卸的彈匣供彈。兼容 AK 瞄鏡。使用 7.62x54mmR 子彈。","取り外し可能なマガジンから装填する、セミオート式のマークスマンライフル。KA スコープと互換性がある。7.62x54mmR 弾薬を使う。","Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","从可拆卸弹匣送弹的半自动精确射击步枪。与 AK 瞄准镜兼容。使用 7.62x54mmR 子弹。",

	"str_iz_cfgweapons_trumpet0","FN Trombone","Trumpet","Trumpet","Trumpet","Trumpet","Trumpet","Trumpet","Trumpet","Trumpet","Trumpet","Trumpet","Trumpet","Trumpet","Trumpet",
	"str_iz_cfgweapons_trumpet1","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.",

"str_iz_cfgweapons_ump450","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45",
"str_iz_cfgweapons_ump451","Selective-fire submachine gun fed from a detachable magazine. High caliber makes up for slower fire rate. Uses .45 ACP rounds.","Selective-fire submachine gun fed from a detachable magazine. High caliber makes up for slower fire rate. Uses .45 ACP rounds.","Samopal s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem. Velká ráže kompenzuje nižší kadenci. Používá munici .45 ACP","Maschinenpistole mit selektivem Feuer und abnehmbarem Magazin. Das große Kaliber kompensiert die langsame Feuergeschwindigkeit. Nutzt .45 ACP-Munition.","Пистолет-пулемет с переводчиком режимов огня и съемным магазином. Высокий калибр компенсирует более низкий темп стрельбы. Использует патроны калибра .45 ACP.","Pistolet maszynowy z przełącznikiem ognia i magazynkiem zewnętrznym. Duży kaliber rekompensuje małą szybkostrzelność. Strzela amunicją .45 ACP.","Selective-fire submachine gun fed from a detachable magazine. High caliber makes up for slower fire rate. Uses .45 ACP rounds.","Mitra con selettore di fuoco e alimentazione mediante un caricatore estraibile. L’elevato calibro compensa il lento tasso di fuoco. Utilizza munizioni calibro .45 ACP.","Metralleta de fuego selectivo, alimentada por un cargador desmontable. Su alto calibre provoca que la cadencia de tiro sea más lenta. Usa proyectiles de .45 ACP.","Un pistolet mitrailleur avec différents modes de tir et chargeur amovible. La puissance du calibre .45 ACP compense la faible cadence de tir.","可選射擊模式的機關槍，以可拆卸的彈匣供彈。高口徑火力彌補了開火速度較慢這一缺點。使用 .45 ACP 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能の短機関銃。連射性能は低い分、大口径。.45 ACP 弾薬を使う。","Selective-fire submachine gun fed from a detachable magazine. High caliber makes up for slower fire rate. Uses .45 ACP rounds.","从可拆弹匣送弹的选射冲锋枪。大口径弥补了射速慢的不足。使用 .45 ACP 子弹。",

"str_iz_cfgweapons_vss0","VSS Vintorez","VSS Vintorez","VSS Vintorez","VSS Vintorez","ВСС Винторе́з","VSS Vintorez","VSS Vintorez","VSS Vintorez","VSS Vintorez","VSS Vintorez","VSS Vintorez","VSS Vintorez","VSS Vintorez","VSS Vintorez",
"str_iz_cfgweapons_vss1","Selective-fire integrally suppressed marksman rifle, fed from a detachable magazine. Compatible with AK scopes. Uses 9x39mm rounds.","Selective-fire integrally suppressed marksman rifle, fed from a detachable magazine. Compatible with AK scopes. Uses 9x39mm rounds.","Ostrostřelecká puška s integrovaným tlumičem a možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem. Kompatibilní s optikami na AK. Používá munici 9x39 mm.","Scharfschützengewehr mit selektivem Feuer, integriertem Schalldämpfer und abnehmbarem Magazin. Kompatibel mit AK-Zielvisieren. Nutzt 9x39mm-Munition.","Снайперская винтовка с переводчиком режимов огня, интегрированным глушителем и съемным магазином. Совместима с прицелами системы КА. Использует патроны калибра 9x39 мм.","Karabin precyzyjny z wbudowanym tłumikiem, przełącznikiem ognia i magazynkiem zewnętrznym. Kompatybilny z lunetami celowniczymi AK. Strzela amunicją 9x39 mm.","Selective-fire integrally suppressed marksman rifle, fed from a detachable magazine. Compatible with AK scopes. Uses 9x39mm rounds.","Fucile da tiratore scelto completamente silenziato con selettore di fuoco e alimentazione mediante un caricatore estraibile. Compatibile con i mirini AK. Utilizza munizioni calibro 9x39 mm.","Fusil de tirador de fuego selectivo completamente silenciado y alimentado por un cargador desmontable. Compatible con miras AK. Usa proyectiles de 9x39 mm.","Un fusil de précision totalement silencieux avec sélecteur de tir, accueillant un chargeur amovible de calibre 9x39 mm. Compatible avec les lunettes pour AK.","可選射擊模式、內部消音的射手步槍，以可拆卸的彈匣供彈。兼容 AK 瞄鏡。使用 9x39mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能付き消音マークスマンライフル。KA スコープと互換性がある。9x39mm 弾薬を使う。","Selective-fire integrally suppressed marksman rifle, fed from a detachable magazine. Compatible with AK scopes. Uses 9x39mm rounds.","从可拆卸弹匣送弹的整合式声音抑制选射精确射击步枪。与 AK 瞄准镜兼容。使用 9x39 毫米子弹。",

"str_iz_cfgweapons_saiga12kshotgun0","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K","Saiga-12K",
"str_iz_cfgweapons_saiga12kshotgun1","Selective-fire shotgun fed from a detachable magazine. Similar in design to the AK assault rifles, it can mount most compatible scopes. Uses both 12ga bucks and slugs.","Selective-fire shotgun fed from a detachable magazine. Similar in design to the KA assault rifles, it can mount most compatible scopes. Uses both 12ga bucks and slugs.","Brokovnice s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem. Má podobnou konstrukci jako útočné pušky AK a lze na ni připevnit většinu kompatibilních optik. Používá broky a jednotné střely ráže 12.","Schrotflinte mit selektivem Feuermodus und abnehmbarem Magazin. Dank der Ähnlichkeit zur AK-Sturmgewehr-Reihe lassen sich eine Reihe kompatibler Zielvisiere anbringen. Nutzt 12ga-Schrot- und Slugmunition.","Дробовик с переводчиком режимов огня и съемным магазином. По конструкции схож с автоматами КА, поэтому на него можно установить большую часть их прицелов. Использует как обычные ружейные патроны 12 калибра, так и пули для гладкоствольного оружия.","Strzelba z przełącznikiem ognia i magazynkiem zewnętrznym. Konstrukcją podobna do karabinu szturmowego AK, można montować na niej większość kompatybilnych lunet. Strzela zarówno breneką, jak i śrutem kalibru 12.","Selective-fire shotgun fed from a detachable magazine. Similar in design to the AK assault rifles, it can mount most compatible scopes. Uses both 12ga bucks and slugs.","Fucile a canna liscia con selettore di fuoco e alimentazione a caricatore estraibile dal design simile ai fucili d’assalto AK. È possibile montarvi la maggior parte dei mirini compatibili e utilizza pallettoni e palle calibro 12.","Una escopeta de disparo selectivo con cargador desmontable. Tiene un diseño similar al de los fusiles de asalto AK y puede llevar casi todas las miras compatibles. Usa cartuchos y balas de calibre 12.","Fusil tactique avec différents modes de tir et à chargeur amovible. Visuellement similaire aux fusils d'assaut AK, il peut accueillir de nombreuses lunettes. Cartouche calibre 12 à chevrotine ou à balle.","選射霰彈槍，使用可拆卸式彈匣。設計和 AK 突擊步槍相似，能夠裝上大多數相容的瞄鏡。使用 12ga 鹿彈與彈塊。","取り外し可能なマガジンから装填する、セレクティブファイア機能の散弾銃。AK アサルトライフルとデザインが似ていて、互換性のあるスコープなら大抵は搭載できる。12ga バックとスラッグを両方使う。","Selective-fire shotgun fed from a detachable magazine. Similar in design to the AK assault rifles, it can mount most compatible scopes. Uses both 12ga bucks and slugs.","使用可拆卸弹匣送弹的选射霰弹枪。其设计与AK突击步枪相似，可安装兼容性最好的瞄准镜。使用12ga鹿弹和独头弹。",

"str_iz_cfgweapons_ruger10220","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22",
"str_iz_cfgweapons_ruger10221","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.",
