"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_cfgmagazines_mag_ruger1022_30rnd1","Detachable box magazine for Ruger 22 rifle. Holds up to 30 rounds of .22 LR.","Detachable box magazine for Ruger 22 rifle. Holds up to 30 rounds of .22 LR.","Odnímatelný schránkový zásobník na pušku Ruger 22. Pojme až 30 nábojů ráže .22 LR.","Abnehmbares Kastenmagazin für das Ruger 22-Gewehr. Fasst bis zu 30 Schuss .22 LR-Munition.","Съемный коробчатый магазин для винтовки Ruger 22. Вмещает до 30 патронов калибра .22 LR.","Zewnętrzny magazynek pudełkowy do karabinu Ruger 22. Mieści 30 naboi .22 LR.","Detachable box magazine for Ruger 22 rifle. Holds up to 30 rounds of .22 LR.","Caricatore estraibile per fucile Ruger 22. Contiene fino a 30 munizioni calibro .22 LR.","Un cargador desmontable para el fusil Ruger 22. Contiene hasta 30 proyectiles de .22 LR.","Un chargeur amovible pour le fusil Ruger 22. Contient jusqu'à 30 balles de calibre .22 LR.","可拆卸式盒裝彈匣，適用 Ruger 22 步槍。最多能裝 30 發 .22 LR 子彈。","スポーター 22 ライフルのための取り外し可能な箱弾倉。.22  LR を最大 30 発装填できる。","Detachable box magazine for Ruger 22 rifle. Holds up to 30 rounds of .22 LR.","Ruger 22 步枪的可拆卸盒式弹匣。可容纳最多 30 发 .22 LR 子弹。",

"str_iz_cfgmagazines_mag_clip762x54_5rnd0","5rd Mosin 91/30 Clip","5rd Mosin 91/30 Clip","Zásobník Mosin 91/30, 5 ran","5-Schuss-Mosin 91/30-Ladestreifen","Обойма для винтовки Mosin 91/30 на 5 пат.","Łódka na 5 naboi Mosin 91/30","5rd Mosin 91/30 Clip","Lastrina Mosin 91/30 5 clp","Cargador Mosin 91/30 de 5 proyectiles","Chargeur 5 balles Mosin 91/30","5 發 Mosin 91/30 填彈器","5rd モシン 91/30 クリップ","5rd Mosin 91/30 Clip","5 发子弹 Mosin 91/30 弹夹",
"str_iz_cfgmagazines_mag_clip762x54_5rnd1","Stripper clip for Mosin 91/30. Allows for loading up to 5 rounds of 7.62x54mmR at once.","Stripper clip for Mosin 91/30. Allows for loading up to 5 rounds of 7.62x54mmR at once.","Nábojový pásek na pušku Mosin 91/30. Umožňuje nabití až 5 nábojů ráže 7,62x54 mm naráz.","Ein Ladestreifen für das Mosin 91/30. Ermöglicht das Laden von 5 Schuss 7.62x54mmR-Munition mit nur einem Handgriff.","Обойма для винтовки Mosin 91/30. Позволяет заряжать до 5 патронов калибра 7,62x54 мм R за раз.","Łódka nabojowa do Mosina 91/30. Pozwala na załadowanie 5 naboi 7,62x54 mm na raz.","Stripper clip for Mosin 91/30. Allows for loading up to 5 rounds of 7.62x54mmR at once.","Lastrina per Mosin 91/30. Consente il caricamento di fino a 5 munizioni calibro 7.62x54 mm R in una volta sola.","Cargador externo veloz para el Mosin 91/30. Permite cargar hasta 5 proyectiles de 7,62x54 mmR a la vez.","Une lame-chargeur pour Mosin 91/30. Permet de charger 5 balles de 7,62x54 mm R à la fois.","Mosin 91/30 的填彈器。立即裝填 7.62x54mmR 彈藥，最多 5 發。","モシン 91/30 のストリッパー・クリップ。一度に 7.62x54mmR を最大 5 発装填できる。","Stripper clip for Mosin 91/30. Allows for loading up to 5 rounds of 7.62x54mmR at once.","Mosin 91/30 弹夹条。一次最多可装 5 发 7.62x54 毫米子弹。",

	"str_iz_cfgmagazines_mag_762x54snaploader_2rnd0","Snaploader","Snaploader","Snaploader","Snaploader","Snaploader","Snaploader","Snaploader","Snaploader","Snaploader","Snaploader","Snaploader","Snaploader","Snaploader","Snaploader",
	"str_iz_cfgmagazines_mag_762x54snaploader_2rnd1","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.","A snaploader for a double rifle.",

	"str_iz_cfgmagazines_mag_308winsnaploader_2rnd0","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader","B95 Snaploader",
	"str_iz_cfgmagazines_mag_308winsnaploader_2rnd1","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.","A snaploader for double rifle.",

	"str_iz_cfgmagazines_mag_clip762x39_10rnd0","10rd SKS Clip","10rd SKS Clip","Zásobník SKS, 10 ran","10-Schuss-SKS-Ladestreifen","Обойма для SKS на 10 пат.","Łódka na 10 naboi SKS","10rd SKS Clip","Lastrina SKS 10 clp","Cargador SKS de 10 proyectiles","Chargeur 10 balles de SKS","10 發 SKS 填彈器","10rd SKS クリップ","10rd SKS Clip","10 发子弹 SKS 弹夹",
	"str_iz_cfgmagazines_mag_clip762x39_10rnd1","A stripper clip for SKS. Allows for loading up to 10 rounds of 7.62x39mm at once.","A stripper clip for SKS. Allows for loading up to 10 rounds of 7.62x39mm at once.","Nábojový pásek na SKS. Umožňuje nabití až 10 nábojů ráže 7,62x39 mm naráz.","Ein Ladestreifen für das SKS. Ermöglicht das Laden von 10 Schuss 7.62x39mm-Munition mit nur einem Handgriff.","Обойма для SKS. Позволяет заряжать до 10 патронов калибра 7,62x39 мм за раз.","Łódka nabojowa do SKS. Pozwala na załadowanie 10 naboi 7,62x39 mm na raz.","A stripper clip for SKS. Allows for loading up to 10 rounds of 7.62x39mm at once.","Lastrina per SKS. Consente il caricamento di fino a 10 munizioni calibro 7.62x39 mm in una volta sola.","Cargador externo veloz para el SKS. Permite cargar hasta 10 proyectiles de 7,62x39 mm a la vez.","Une lame-chargeur pour SKS. Permet de charger 10 balles de 7,62x39 mm à la fois.","SKS 的填彈器。立即裝填 7.62x39mm 彈藥，最多 10 發。","SKS のストリッパー・クリップ。一度に 7.62x39mm を最大 10 発装填できる。","A stripper clip for SKS. Allows for loading up to 10 rounds of 7.62x39mm at once.","一种 SKS 弹夹条。一次最多可装 10 发 7.62x39 毫米子弹。",

	"str_iz_cfgmagazines_mag_clip9x19_10rnd0","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip","10 Round Clip",
	"str_iz_cfgmagazines_mag_clip9x19_10rnd1","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.","A clip for 10 rounds 9mm.",

"str_iz_cfgmagazines_mag_akm_30rnd0","30rd AKM Mag","30rd AKM Mag","Zásobník AKM, 30 ran","30-Schuss-AKM-Magazin","Магазин для AKM на 30 пат.","Magazynek na 30 naboi AKM","30rd AKM Mag","Caricatore AKM 30 clp","Cargador AKM de 30 proyectiles","Chargeur 30 balles de AK","30 發 AKM 彈匣","30rd AKM マガジン","30rd AKM Mag","30 发子弹 AKM 弹匣",
"str_iz_cfgmagazines_mag_akm_30rnd1","Detachable box magazine for the AKM assault rifle. Holds up to 30 rounds of 7.62x39mm. ","Detachable box magazine for the AKM assault rifle. Holds up to 30 rounds of 7.62x39mm. ","Odnímatelný schránkový zásobník na útočnou pušku AKM. Pojme až 30 nábojů ráže 7,62x39 mm. ","Abnehmbares Kastenmagazin für das AKM-Sturmgewehr. Fasst bis zu 30 Schuss 7,63x39mm-Munition.","Съемный коробчатый магазин для автомата AKM. Вмещает до 30 патронов калибра 7,62x39 мм. ","Zewnętrzny magazynek pudełkowy do karabinu szturmowego AKM. Mieści 30 naboi 7,62x39 mm. ","Detachable box magazine for the AKM assault rifle. Holds up to 30 rounds of 7.62x39mm. ","Caricatore estraibile per fucile d’assalto AKM. Contiene fino a 30 munizioni calibro 7.62x39 mm. ","Un cargador desmontable para el fusil de asalto AKM. Contiene hasta 30 proyectiles de 7,62x39 mm.","Un chargeur amovible pour fusil d'assaut AKM. Contient jusqu'à 30 balles de calibre 7,62x39 mm R. ","可拆卸式盒裝彈匣，適用 AKM 突擊步槍。最多能裝 30 發 7.62x39mm 子彈。","AKM  アサルトライフルのための取り外し可能な箱弾倉。7.62x39mm を最大 30 発装填できる。","Detachable box magazine for the AKM assault rifle. Holds up to 30 rounds of 7.62x39mm. ","AKM 突击步枪的可拆卸弹匣。可容纳最多 30 发 7.62x39mm 子弹。",

"str_iz_cfgmagazines_mag_akm_drum75rnd0","75rd AKM Drum Mag","75rd AKM Drum Mag","Bubnový zásobník AKM, 75 ran","75-Schuss-AKM-Trommelmagazin","Бараб. маг. AKM на 75 пат.","Magazynek na 75 naboi AKM","75rd AKM Drum Mag","Caricatore a tamburo AKM 75 clp","Cargador de tambor de 75 proyectiles de AKM","Chargeur tambour 75 balles AKM","75 发子弹 AKM 弹鼓","75rd AKM マガジン","75rd AKM Drum Mag","75 发子弹 AKM 弹鼓",
"str_iz_cfgmagazines_mag_akm_drum75rnd1","Detachable drum magazine for the AKM assault rifle. Holds up to 75 rounds of 7.62x39mm.","Detachable drum magazine for the AKM assault rifle. Holds up to 75 rounds of 7.62x39mm.","Odnímatelný bubnový zásobník na útočnou pušku AKM. Pojme až 75 nábojů ráže 7,62x39 mm.","Abnehmbares Kastenmagazin für das AKM-Sturmgewehr. Fasst bis zu 75 Schuss 7,62x39mm-Munition.","Съемный барабанный магазин для автомата AKM. Вмещает до 75 патронов калибра 7,62x39 мм.","Zewnętrzny magazynek bębnowy do karabinu szturmowego AKM. Mieści 75 naboi 7,62x39 mm.","Detachable drum magazine for the AKM assault rifle. Holds up to 75 rounds of 7.62x39mm.","Caricatore a tamburo estraibile per fucile d’assalto AKM. Contiene fino a 75 munizioni calibro 7.62x39 mm.","Un cargador desmontable para el fusil de asalto AKM. Contiene hasta 75 proyectiles de 7,62x39 mm.","Un chargeur amovible à tambour pour fusil d'assaut AKM. Contient jusqu'à 75 balles de calibre 7,62x39 mm.","可拆卸式彈鼓，適用 AKM 突擊步槍。最多能裝 75 發 7.62x39mm 子彈。","AKM  アサルトライフルのための取り外し可能な箱弾倉。7.62x39mm を最大 75 発装填できる。","Detachable drum magazine for the AKM assault rifle. Holds up to 75 rounds of 7.62x39mm.","AKM 突击步枪的可拆卸弹鼓。可容纳最多 75 发 7.62x39 毫米子弹。",

"str_iz_cfgmagazines_mag_akm_palm30rnd0","30rd AKM Polymer Mag","30rd AKM Polymer Mag","Zásobník AKM, 30 ran","30-Schuss-AKM-Polymermagazin","Полим. маг. AKM на 30 пат.","Mag. polimerowy na 30 naboi AKM","30rd AKM Polymer Mag","Caricatore in polimeri AKM 30 clp","Cargador de polímero de 30 proyectiles de AKM","Chargeur polymère 30 balles AKM","30 發子彈 AKM 聚合物彈匣","30rd AKM マガジン","30rd AKM Polymer Mag","30 发子弹 AKM 聚合物弹匣",
"str_iz_cfgmagazines_mag_akm_palm30rnd1","Detachable polymer magazine for the AKM assault rifle. Holds up to 30 rounds of 7.62x39mm.","Detachable polymer magazine for the AKM assault rifle. Holds up to 30 rounds of 7.62x39mm.","Odnímatelný polymerový zásobník na útočnou pušku AKM. Pojme až 30 nábojů ráže 7,62x39 mm.","Abnehmbares Polymermagazin für das AKM-Sturmgewehr. Fasst bis zu 30 Schuss 7,62x39mm-Munition.","Съемный полимерный магазин для автомата AKM. Вмещает до 30 патронов калибра 7,62x39 мм.","Zewnętrzny magazynek polimerowy do karabinu szturmowego AKM. Mieści 30 naboi 7,62x39 mm.","Detachable polymer magazine for the AKM assault rifle. Holds up to 30 rounds of 7.62x39mm.","Caricatore estraibile in polimeri per fucile d’assalto AKM. Contiene fino a 30 munizioni calibro 7.62x39 mm.","Un cargador de polímero desmontable para el fusil de asalto AKM. Contiene hasta 30 proyectiles de 7,62x39 mm.","Un chargeur amovible en polymère pour fusil d'assaut AKM. Contient jusqu'à 30 balles de calibre 7,62x39 mm.","可拆卸式聚合物彈匣，適用 AKM 突擊步槍。最多能裝 30 發 7.62x39mm 子彈。","AKM  アサルトライフルのための取り外し可能な箱弾倉。7.62x39mm を最大 30 発装填できる。","Detachable polymer magazine for the AKM assault rifle. Holds up to 30 rounds of 7.62x39mm.","AKM 突击步枪的可拆卸聚合物弹匣。可容纳最多 30 发 7.62x39 毫米子弹。",

"str_iz_cfgmagazines_mag_cz527_5rnd0","5rd CZ-527 Mag","5rd CZ-527 Mag","Zásobník CZ-527, 5 ran","5-Schuss-CZ-527-Magazin","Магазин для CZ-527 на 5 пат.","Magazynek na 5 naboi CZ-527","5rd CZ-527 Mag","Caricatore CZ-527 5 clp","Cargador CZ-527 de 5 proyectiles","Chargeur 5 balles de CZ-527","5 發 CZ-527 彈匣","5rd CZ-527 マガジン","5rd CZ-527 Mag","5 发子弹 CZ-527 弹匣",
"str_iz_cfgmagazines_mag_cz527_5rnd1","Detachable box magazine for the CZ-527 rifle. Holds up to 5 rounds of 7.62x39mm.","Detachable box magazine for the CZ-527 rifle. Holds up to 5 rounds of 7.62x39mm.","Odnímatelný schránkový zásobník na pušku CZ-527. Pojme až 5 nábojů ráže 7,62x39 mm.","Abnehmbares Kastenmagazin für das CZ-527-Gewehr. Fasst bis zu 5 Schuss 7.62x39mm-Munition.","Съемный коробчатый магазин для винтовки CZ-527. Вмещает до 5 патронов калибра 7,62x39 мм.","Zewnętrzny magazynek pudełkowy do karabinu CZ-527. Mieści 5 naboi 7,62x39 mm.","Detachable box magazine for the CZ-527 rifle. Holds up to 5 rounds of 7.62x39mm.","Caricatore estraibile per fucile CZ-527. Contiene fino a 5 munizioni calibro 7.62x39 mm.","Un cargador desmontable para el fusil CZ-527. Contiene hasta 5 proyectiles de 7,62x39 mm.","Un chargeur amovible pour fusil d'assaut CZ-527. Contient jusqu'à 5 balles de calibre 7,62x39 mm.","可拆卸式盒裝彈匣，適用 CZ-527 步槍。最多能裝 5 發 7.62x39mm 子彈。","CZ-527 ライフルのための取り外し可能な箱弾倉。7.62x39mm を最大 5 発装填できる。","Detachable box magazine for the CZ-527 rifle. Holds up to 5 rounds of 7.62x39mm.","CZ-527 步枪的可拆卸弹匣。最多可容纳 5 发 7.62x39mm 子弹。",

"str_iz_cfgmagazines_mag_stanag_30rnd0","30rd Standardized Mag","30rd Standardized Mag","Standardizovaný zásobník, 30 ran","Standardisiertes 30-Schuss-Magazin","Стандартный магазин на 30 пат.","Uniwersalny magazynek na 30 naboi","30rd Standardized Mag","Caricatore standardizzato 30 clp","Cargador estándar de 30 proyectiles","Chargeur Alliance 30 balles","30 發標準彈匣","30rd 標準マガジン","30rd Standardized Mag","30 发子弹标准化弹匣",
"str_iz_cfgmagazines_mag_stanag_30rnd1","Standardized magazine for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Standardized magazine for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Standardizovaný zásobník do odpovídajících útočných pušek aliančních sil. Pojme až 30 nábojů ráže 5,56x45 mm.","Standardisiertes Magazin für kompatible Sturmgewehre der Alliierten-Streitkräfte. Fasst bis zu 30 Schuss 5,56x45mm-Munition.","Стандартный магазин автоматов, состоящих на вооружении сил альянса. Вмещает до 30 патронов калибра 5,56x45 мм.","Uniwersalny magazynek do karabinów szturmowych używanych przez siły przymierza. Mieści 30 naboi 5,56x45 mm.","Standardized magazine for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Caricatore standardizzato per fucili d’assalto conformi usati dalle forze dell’alleanza. Contiene fino a 30 munizioni calibro 5.56x45 mm.","Cargador estándar para fusiles de asalto determinados, utilizados por las tropas de la Alianza. Contiene hasta 30 proyectiles de 5,56x45 mm.","Un chargeur standardisé pour les fusils d'assaut compatibles de l'Alliance. Contient jusqu'à 30 balles de calibre 5,56x45 mm.","標準彈匣，適用於盟軍的某些突擊步槍。最多能裝 30 發 5.56x45mm 子彈。","同盟軍によって使用される、規約に準拠したアサルトライフルのための標準化されたマガジン。5.56x45mm を最大 30 発装填できる。","Standardized magazine for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","联盟部队使用的兼容式突击步枪的标准化弹匣。可容纳最多 30 发 5.56x45mm 子弹。",

"str_iz_cfgmagazines_mag_stanagcoupled_30rnd0","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag","30rd Coupled Standardized Mag",
"str_iz_cfgmagazines_mag_stanagcoupled_30rnd1","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.","Coupled standardized magazine for compliant assault rifles used by alliance forces. Holds up to 60 rounds of 5.56x45mm.",

"str_iz_cfgmagazines_mag_cmag_10rnd0","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine","10rd Mag-C Magazine",
"str_iz_cfgmagazines_mag_cmag_10rnd1","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 10 rounds of 5.56x45mm.",

"str_iz_cfgmagazines_mag_cmag_20rnd0","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine","20rd Mag-C Magazine",
"str_iz_cfgmagazines_mag_cmag_20rnd1","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 20 rounds of 5.56x45mm.",

"str_iz_cfgmagazines_mag_cmag_30rnd0","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine","30rd Mag-C Magazine",
"str_iz_cfgmagazines_mag_cmag_30rnd1","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.","Detachable aftermarket box magazine  for compliant assault rifles used by alliance forces. Holds up to 30 rounds of 5.56x45mm.",

"str_iz_cfgmagazines_mag_cmag_40rnd0","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine","40rd Mag-C Magazine",
"str_iz_cfgmagazines_mag_cmag_40rnd1","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.","Detachable aftermarket box magazine for compliant assault rifles used by alliance forces. Holds up to 40 rounds of 5.56x45mm.",

"str_iz_cfgmagazines_mag_ak101_30rnd0","30rd AK-101 Mag","30rd AK-101 Mag","Zásobník AK-101, 30 ran","30-Schuss-AK-101-Magazin","Магазин AK-101 на 30 пат.","Magazynek na 30 naboi AK-101","30rd AK-101 Mag","Caricatore AK-101 30 clp","Cargador de 30 proyectiles de AK-101","Chargeur 30 balles AK-101","30 發 AK-101 彈匣","30rd AK-101 マガジン","30rd AK-101 Mag","30 发子弹 AK-101 弹匣",
